route,page_title,h1,h2,h3,hero_copy,body_copy,cards,widgets,tables,charts,forms,services,CTA_text,CTA_destinations,navigation_items,sidebar_items,footer_items
/aba-20,The Aba 2.0 Evolution,The Aba 2.0 Evolution,Before &amp; After Showcase; Integrated Urban Systems; Aba Network Map,"142km; 3,450+; Aba-Owerri Expansion; Adaptive Lighting; Integrated Drainage",Witness the physical transformation of Aba's most critical transit corridors through high-precision engineering.,"ABA 2.0 Urban Renewal OS Building the sovereign digital and physical infrastructure of the Enyimba City. Modern roads, integrated drainage, and smart lighting systems.",Citizen Portal; {/* Map Placeholder with data-location,,YES,NO,NO,,emergency_home Emergency; Citizen Portal; forum Citizen Feedback; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia; Town Hall,; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia; /citizen-consultations,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Invest Abia; Serve Abia; Build Abia; Open Abia; Town Hall,
/aba-20-mobile,ABIA ONE,ABIA ONE,Rebuilding the Enyimba City,Interactive Master Plan; Land Registry; Active Renovations,Active Projects,Active Projects 42 Land Verifications,{/* Map Simulation */}; Verify Ownership; {/* Hub is active since this is the Urb,,YES,NO,YES,,notifications; Fullscreen open_in_full; add; remove; Verify Ownership arrow_forward; add_a_photo; dashboard Dashboard; notifications_active Alerts; grid_view Hub; person Profile,; ; ; ; ; ; ; ; ;,,,
/aboneconceptnote,ABIA ONE Dashboard,,,,,,,Data Registry Table,NO,NO,NO,Tender Contracts Registry,,,,,
/agri-transformation,Umuahia Agribusiness Hub,Umuahia Agribusiness Hub,,State Agricultural Clusters; 'Abia Grown' Export Flow; Palm Oil Supply Chain; Farmer Support Hub,,"Strategic oversight of Abia State's agricultural transformation, focusing on the high-yield value chains of Palm Oil and Cassava through digital supply-chain tracking. Direct from Umuahia Mill Clusters State Seed &amp; Fertilizer Distribution",Emergency; Citizen Portal; Citizen Feedback; View Export Ledgers,,YES,NO,NO,,Emergency; Citizen Portal; Citizen Feedback; View Export Ledgers; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Agriculture; Education; Health; Budget,; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /ministry-of-agriculture; /education-learning; /ministry-of-health; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; mitre Transparent Governance; security Public Trust; Agriculture; Education; Health; Budget,
/ai-academy,Abia AI Academy,Abia AI Academy,Navigation,Available Digital Skills Courses,Building the sovereign digital workforce of the future. Master artificial intelligence to serve the next generation of Abia State.,State Operating System Building the sovereign digital workforce of the future. Master artificial intelligence to serve the next generation of Abia State. Total Enrolled,Citizen Portal; Launch Service,Analytics Telemetry Graph; Data Registry Table,YES,NO,YES,,Citizen Portal; Launch Service; View All Courses; All; Foundation; Specialist; Advanced; Enroll Now; Enroll Now; Enroll Now; Enroll Now; Enroll Now; Enroll Now; chat_bubble; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,; ; ; ; ; ; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,
/ai-academy-2,Preparing Abia for the Global Digital Economy,Preparing Abia for the Global Digital Economy,"Welcome back, Dr. Okezie; Discover Your Future Path; Success Stories from Our Graduates; Join Cohort 4 — Starting Sept 2024",Data Analytics for Public Policy; Next Milestone; AI Fundamentals; Digital Marketing; Data Analytics,Empowering citizens with world-class artificial intelligence skills. Join the next generation of Abia's tech workforce and lead the digital transformation of governance and commerce.,Empowering citizens with world-class artificial intelligence skills. Join the next generation of Abia's tech workforce and lead the digital transformation of governance and commerce. AI-ready labor force increased by 45% since launch. Your learning journey is 64% complete. Keep it up!,Citizen Portal; Browse Catalog; Watch Success Stories; Resume Learning; Course Details,Analytics Telemetry Graph; Data Registry Table,YES,YES,YES,,Citizen Portal; Browse Catalog arrow_forward; Watch Success Stories; Go to Dashboard chevron_right; Resume Learning; Course Details; Apply Now; Download Prospectus; Serve Abia; Jobs Abia; AI Academy; Connect Abia; Data Science; Institutional News; Open Data Initiative,; ; ; ; ; ; ; ; /serve-abia; /jobs-abia; /ai-academy; /connect-abia; /science-technology; /news-press-center; /open-abia,Citizen Portal,Serve Abia; Jobs Abia; AI Academy; Connect Abia; Data Science; Institutional News; Open Data Initiative,
/ai-academy-mobile,Abia One,Abia One,"Good morning, Obi.",In Progress; Explore Skills; Categories,Ready to advance your digital sovereignity?,Ready to advance your digital sovereignity? Module 4: Secure Governance Unlock with 2 more modules.,Resume Learning,Analytics Telemetry Graph,NO,NO,NO,,emergency_share; Resume Learning play_circle; All Paths; Public Ops; Dev Tools; Strategy,; ; ; ; ;,,,
/border-trade-logistics,Border &amp; Inter-State Trade,Border &amp; Inter-State Trade,Trade OS,Logistics Corridor Analytics; Permit Registry; Ariaria Strategic Hub; Enyimba City Hub; Regional Trade Partnership Directory,Transit Volume,"Commerce &amp; Logistics Engine Real-time management of logistics corridors, trade compliance, and regional partnership directories for the Abia State commercial ecosystem. Transit Volume",Emergency; Citizen Portal; {/* Simple bar chart visual */}; Verify Physical Permit QR; filter_list,Analytics Telemetry Graph; Data Registry Table,YES,NO,YES,,Emergency; Citizen Portal; download Export Trade Data; add_circle New Trade Agreement; Verify Physical Permit QR; filter_list; View MOU; View MOU; Review Terms; Economy; Digital Gov; Governance; Security; Invest Abia; Serve Abia; Build Abia; Open Abia,; ; ; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /invest-in-aba; /serve-abia; /build-abia; /open-abia,Citizen Portal; Economy; Digital Gov; Governance; Security,Invest Abia; Serve Abia; Build Abia; Open Abia,
/border-trade-logistics-2,Abia State: The Regional Gateway,Abia State: The Regional Gateway,Import/Export Statistics; Regional Trade Corridors,Trade Facilitation,"Optimizing cross-border trade flows through integrated dry ports, real-time infrastructure monitoring, and streamlined regulatory facilitation.","Optimizing cross-border trade flows through integrated dry ports, real-time infrastructure monitoring, and streamlined regulatory facilitation. Quarterly trade volume across Aba-Port Harcourt corridor TOTAL TRADE VOLUME",Citizen Portal; Facilitation Guide; Q3 2024; {/* Placeholder for Interactive Map */,Analytics Telemetry Graph,YES,YES,NO,,Citizen Portal; analytics Live Trade Dashboard; Facilitation Guide; Access Portal; Facility Details arrow_forward; Sensor Network Log; Serve Abia; Jobs Abia; AI Academy; Connect Abia; Institutional News; Investment Gateway; Trade Inquiries,; ; ; ; ; ; /serve-abia; /jobs-abia; /ai-academy; /connect-abia; /news-press-center; /invest-in-aba; /economic-transformation,Citizen Portal,Serve Abia; Jobs Abia; AI Academy; Connect Abia; Institutional News; Investment Gateway; Trade Inquiries,
/build-abia,Abia Project Map,Abia Project Map,Navigation,Recent Completions; Aba Road Expansion (Current Focus); ABIA ONE,,State Operating System PROJECTS TRACKER Live updates on infrastructure,Citizen Portal; {/* Map Placeholder */}; View Full Archive,,YES,NO,YES,,Citizen Portal; Launch Service; All Regions; Umuahia; Aba; Ohafia; View Full Archive; Economy; Digital Gov; Governance; Security; payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,; ; ; ; ; ; ; /economic-transformation; /serve-abia; /local-governance; /secure-abia; /economic-transformation; /serve-abia; /local-governance,Citizen Portal; Economy; Digital Gov; Governance; Security,payments Economic Transformation; account_balance Digital Government; gavel Transparent Governance,
/build-abia-mobile,Abia One,Abia One,Build Abia,Near Your Location; Open Budget 2024; Progress Photos; Project Insights,Real-time infrastructure transparency &amp; tracking.,Real-time infrastructure transparency &amp; tracking. Closest Project Aba-Ikot Ekpene Road,,,YES,NO,NO,,add_a_photo Report Project Progress; dashboard Dashboard,; /home-mobile,,dashboard Dashboard,
