page,sidebar_name,sidebar_item,destination
/aba-20,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/aba-20,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/aba-20,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/aba-20,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/aba-20,Dashboard Navigation Panel,Invest Abia,/invest-abia
/aba-20,Dashboard Navigation Panel,Serve Abia,/serve-abia
/aba-20,Dashboard Navigation Panel,Build Abia,/build-abia
/aba-20,Dashboard Navigation Panel,Open Abia,/open-abia
/aba-20,Dashboard Navigation Panel,Town Hall,/town-hall
/agri-transformation,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/agri-transformation,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/agri-transformation,Dashboard Navigation Panel,mitre Transparent Governance,/mitre-transparent-governance
/agri-transformation,Dashboard Navigation Panel,security Public Trust,/security-public-trust
/agri-transformation,Dashboard Navigation Panel,Agriculture,/agriculture
/agri-transformation,Dashboard Navigation Panel,Education,/education
/agri-transformation,Dashboard Navigation Panel,Health,/health
/agri-transformation,Dashboard Navigation Panel,Budget,/budget
/ai-academy,Dashboard Navigation Panel,payments Economic Transformation,/payments-economic-transformation
/ai-academy,Dashboard Navigation Panel,account_balance Digital Government,/account_balance-digital-government
/ai-academy,Dashboard Navigation Panel,gavel Transparent Governance,/gavel-transparent-governance
/ai-academy-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/ai-academy-2,Dashboard Navigation Panel,Jobs Abia,/jobs-abia
/ai-academy-2,Dashboard Navigation Panel,AI Academy,/ai-academy
/ai-academy-2,Dashboard Navigation Panel,Connect Abia,/connect-abia
/ai-academy-2,Dashboard Navigation Panel,Data Science,/data-science
/ai-academy-2,Dashboard Navigation Panel,Institutional News,/institutional-news
/ai-academy-2,Dashboard Navigation Panel,Open Data Initiative,/open-data-initiative
/border-trade-logistics,Dashboard Navigation Panel,Invest Abia,/invest-abia
/border-trade-logistics,Dashboard Navigation Panel,Serve Abia,/serve-abia
/border-trade-logistics,Dashboard Navigation Panel,Build Abia,/build-abia
/border-trade-logistics,Dashboard Navigation Panel,Open Abia,/open-abia
/border-trade-logistics-2,Dashboard Navigation Panel,Serve Abia,/serve-abia
/border-trade-logistics-2,Dashboard Navigation Panel,Jobs Abia,/jobs-abia
