CTA,appears_on_pages,destinations,frequency
1,/open-abia-2,,1
2,/open-abia-2,,1
3,/open-abia-2,,1
emergency_home Emergency,/aba-20,,1
Citizen Portal,/aba-20; /agri-transformation; /ai-academy; /ai-academy-2; /border-trade-logistics; /border-trade-logistics-2; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /commerce-trade; /connect-abia; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /jobs-abia; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,,56
forum Citizen Feedback,/aba-20,,1
Economy,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/economic-transformation,54
Digital Gov,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/serve-abia,53
Governance,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /commerce-trade-2; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /education-learning-2; /emergency-crisis-response; /employer-portal; /environment-sustainability; /environment-sustainability-2; /gada; /governors-command-center; /health-wellness; /health-wellness-2; /home-variant; /housing-urban-development; /housing-urban-development-2; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-agriculture-2; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /science-technology-2; /secure-abia; /secure-abia-3; /serve-abia-2; /serve-abia-3; /social-welfare; /social-welfare-2; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /tourism-culture-2; /transparent-governance; /transparent-governance-2; /transport-mobility; /transport-mobility-2; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/local-governance,67
Security,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/secure-abia,55
payments Economic Transformation,/aba-20; /agri-transformation; /ai-academy; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /economic-transformation; /environment-sustainability; /home-variant; /industrial-hubs; /invest-abia; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /open-abia; /open-abia-2; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance-2; /transport-mobility; /water-resources-irrigation; /youth-sports,/economic-transformation,30
account_balance Digital Government,/aba-20; /agri-transformation; /ai-academy; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /economic-transformation; /environment-sustainability; /home-variant; /industrial-hubs; /invest-abia; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /open-abia; /open-abia-2; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance-2; /transport-mobility; /water-resources-irrigation; /youth-sports,/serve-abia,30
mitre Transparent Governance,/aba-20; /agri-transformation; /citizen-identity-civil-registry; /civil-service-portal-2; /digital-archives-heritage; /environment-sustainability; /home-variant; /legal-institutional-registry-2; /local-governance; /mda-performance; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /transport-mobility; /water-resources-irrigation; /youth-sports,/local-governance,16
security Public Trust,/aba-20; /agri-transformation; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /digital-archives-heritage-2; /environment-sustainability; /home-variant; /legal-institutional-registry-2; /local-governance; /mda-performance; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance; /transport-mobility; /water-resources-irrigation; /youth-sports,/secure-abia,20
Invest Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /environment-sustainability-2; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/invest-in-aba,40
Serve Abia,/aba-20; /ai-academy-2; /border-trade-logistics; /border-trade-logistics-2; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /connect-abia; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /jobs-abia; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/serve-abia,44
Build Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/build-abia,39
Open Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/open-abia,38
Town Hall,/aba-20,/citizen-consultations,1
notifications,/aba-20-mobile; /civil-service-mobile; /civil-service-portal; /cooperatives-micro-credit-2; /digital-archives-heritage-mobile; /emergency-response; /environment-sustainability-mobile; /gada-mobile; /gada-mobile-2; /governors-command-center; /governors-command-center-mobile; /invest-abia-mobile; /legal-institutional-registry-mobile; /local-governance; /ministry-of-agriculture-2; /ministry-of-agriculture-mobile; /ministry-of-communication; /ministry-of-education-mobile; /ministry-of-health; /ministry-of-health-mobile-2; /open-abia-mobile; /secure-abia-mobile; /tourism-culture-mobile; /trade-logistics-mobile; /transport-mobility-hub-mobile; /transport-mobility-mobile; /women-gender-affairs-mobile,,27
Fullscreen open_in_full,/aba-20-mobile,,1
add,/aba-20-mobile; /connect-abia-mobile; /cooperatives-micro-credit-mobile; /emergency-crisis-response; /environment-sustainability; /greater-aba-development-authority; /housing-urban-development-2; /invest-in-aba; /ministry-of-agriculture-3; /ministry-of-agriculture-mobile; /secure-abia-2; /utilities-environment; /women-gender-affairs-mobile,,14
remove,/aba-20-mobile; /emergency-crisis-response; /environment-sustainability; /housing-urban-development-2; /secure-abia-2; /utilities-environment,,6
